Serial_no,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
1947,Sri Krishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:59,05:00,05h 01m,INR 1000,21 Seats available,"3.4
7",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
1948,SRI MARUTHI TRAVELS,A/C Seater Push Back (2+2),23:10,05:00,05h 50m,INR 999,40 Seats available,"1.9
4",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
1949,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),23:30,05:20,05h 50m,INR 810,10 Seats available,"2.8
16",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
1950,Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),23:50,06:00,06h 10m,INR 555,19 Seats available,"2.9
18",https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
1951,VSN Travels,A/C Sleeper (2+1),22:40,05:30,06h 50m,INR 2000,30 Seats available,4,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
1952,GOWTHAMI TOURS & TRAVELS,A/C Sleeper (2+1),22:45,06:00,07h 15m,INR 3899,36 Seats available,New,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
1953,Sri Krishna Travels,A/C Semi Sleeper / Sleeper (2+1),23:30,05:00,05h 30m,INR 3000,31 Seats available,2.7,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad
1954,Kaveri Travels,A/C Sleeper (2+1),21:30,05:00,07h 30m,INR 800,22 Seats available,"3.9
206",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1955,Raja Buses,NON AC Seater / Sleeper 2+1,20:45,04:59,08h 14m,INR 500,25 Seats available,"4.2
71",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1956,Sri Krishna Travels,A/C Semi Sleeper / Sleeper (2+1),20:15,05:00,08h 45m,INR 550,37 Seats available,"3.8
108",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1957,V Kaveri Travels,A/C Sleeper (2+1),21:30,05:30,08h 00m,INR 800,23 Seats available,"3.9
65",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1958,JOSH BUS,Non A/C Seater / Sleeper (2+1),21:30,04:50,07h 20m,INR 500,26 Seats available,"4.3
84",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1959,JOSH BUS,Non A/C Seater / Sleeper (2+1),21:50,04:50,07h 00m,INR 500,21 Seats available,"3.9
53",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1960,Anish Travels,Non A/C Seater / Sleeper (2+1),22:40,04:30,05h 50m,INR 500,41 Seats available,New,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1961,SLVR Travels,Non A/C Seater / Sleeper (2+1),23:55,05:15,05h 20m,INR 449,4 Seats available,New,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1962,MVN Tours and Travels,Non A/C Seater / Sleeper (2+1),23:00,04:30,05h 30m,630,33 Seats available,New,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1963,MVN Tours and Travels,Non A/C Seater / Sleeper (2+1),22:50,04:30,05h 40m,3600,35 Seats available,New,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1964,Kamakshi Tours And Travels,NON A/C Sleeper (2+1),21:30,05:30,08h 00m,INR 700,15 Seats available,"4.5
29",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1965,Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),21:30,05:30,08h 00m,INR 500,25 Seats available,"3.6
56",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1966,Raja Buses,NON AC Seater / Sleeper 2+1,20:50,04:59,08h 09m,INR 500,32 Seats available,"3.7
24",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1967,SAI PRASANNA TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,04:00,06h 30m,INR 444,35 Seats available,"2.9
55",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1968,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:30,05:30,08h 00m,INR 500,30 Seats available,"4.0
63",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1969,Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),21:45,05:25,07h 40m,INR 499,25 Seats available,"2.7
24",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1970,KKaveri Travels,Non A/C Seater / Sleeper (2+1),21:30,05:00,07h 30m,INR 600,30 Seats available,"2.1
29",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1971,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),21:30,05:30,08h 00m,INR 600,31 Seats available,"3.7
74",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1972,Kamakshi Tours And Travels,A/C Seater / Sleeper (2+1),21:30,05:45,08h 15m,INR 600,19 Seats available,"3.4
63",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1973,SMKAT Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),20:50,04:00,07h 10m,926,24 Seats available,"3.9
32",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1974,Sri Laxmi Sravanthi Siva Tours And Travels,Non A/C Seater / Sleeper (2+1),22:05,05:20,07h 15m,INR 499,38 Seats available,"3.0
20",https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1975,Harikrishna Travels,Non A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,INR 900,41 Seats available,3,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1976,Harikrishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:00,04:30,06h 30m,INR 1000,32 Seats available,3,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1977,Harikrishna Travels,Non A/C Seater / Sleeper (2+1),23:00,04:30,05h 30m,INR 700,41 Seats available,3,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,Hyderabad to Vinukonda
1978,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,07:15,08h 15m,427,28 Seats available,"4.2
348",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1979,NueGo,Electric A/C Seater/Sleeper (2+1),20:00,04:15,08h 15m,427,26 Seats available,"4.2
284",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1980,NueGo,Electric A/C Seater/Sleeper (2+1),21:45,06:00,08h 15m,427,22 Seats available,"4.0
257",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1981,Yolo Bus,A/C Seater / Sleeper (2+1),21:00,05:55,08h 55m,INR 350,29 Seats available,"4.0
401",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1982,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:00,05:30,08h 30m,INR 405,34 Seats available,"4.4
356",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1983,Yolo Bus,A/C Sleeper (2+1),21:31,05:03,07h 32m,INR 500,21 Seats available,"4.5
345",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1984,NueGo,Electric A/C Seater (2+2),13:00,21:15,08h 15m,427,35 Seats available,"4.1
27",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1985,Svkdt travels,A/C Seater / Sleeper (2+1),22:20,05:45,07h 25m,INR 500,21 Seats available,"4.4
271",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1986,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:00,06:00,08h 00m,INR 450,29 Seats available,"4.0
110",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1987,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),22:20,05:55,07h 35m,655,25 Seats available,"4.5
266",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1988,IntrCity SmartBus,AC Sleeper (2+1),22:30,06:40,08h 10m,INR 595,30 Seats available,"4.6
131",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1989,Svkdt travels,A/C Seater / Sleeper (2+1),21:35,05:15,07h 40m,INR 500,24 Seats available,"4.2
284",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1990,SRKT Travels,A/C Seater / Sleeper (2+1),21:30,05:45,08h 15m,INR 500,28 Seats available,"4.1
182",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1991,Svkdt travels,A/C Seater / Sleeper (2+1),21:20,05:15,07h 55m,INR 500,27 Seats available,"4.1
287",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1992,IntrCity SmartBus,AC Sleeper (2+1),18:15,02:35,08h 20m,INR 914,25 Seats available,"4.7
15",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1993,Svkdt travels,A/C Seater / Sleeper (2+1),22:15,06:15,08h 00m,INR 500,23 Seats available,"4.2
315",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1994,IntrCity SmartBus,AC Sleeper (2+1),22:00,06:10,08h 10m,INR 595,27 Seats available,"4.3
311",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1995,Svkdt travels,A/C Sleeper (2+1),22:30,06:15,07h 45m,INR 720,19 Seats available,"4.0
199",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1996,IntrCity SmartBus,A/C Seater / Sleeper (2+1),17:20,01:35,08h 15m,INR 524,27 Seats available,"4.5
18",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1997,IntrCity SmartBus,AC Sleeper (2+1),20:15,04:20,08h 05m,INR 1122,22 Seats available,"4.8
11",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1998,Mayuri Travels,A/C Seater / Sleeper (2+1),19:00,02:45,07h 45m,720,27 Seats available,3.5,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
1999,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:15,06:00,07h 45m,INR 450,27 Seats available,"4.3
54",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2000,Sai RK Travels,Non A/C Seater / Sleeper (2+1),21:30,05:45,08h 15m,INR 555,30 Seats available,"4.5
9",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2001,Navin Travels,Non A/C Seater / Sleeper (2+1),22:30,06:15,07h 45m,463,32 Seats available,"4.1
11",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2002,Sri Amaravathi Travels,Non A/C Seater / Sleeper (2+1),21:25,05:15,07h 50m,450,19 Seats available,"3.8
89",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2003,Svkdt travels,A/C Sleeper (2+1),18:40,02:20,07h 40m,INR 920,25 Seats available,"4.5
9",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2004,Sri Krishna Travels,A/C Sleeper (2+1),21:30,03:30,06h 00m,INR 1100,26 Seats available,"4.3
18",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2005,Orange Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:00,05:00,06h 00m,1080,15 Seats available,3.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2006,KKaveri Travels,Non A/C Seater / Sleeper (2+1),15:30,23:59,08h 29m,540,38 Seats available,"4.5
5",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2007,NueGo,Electric A/C Seater (2+2),10:30,19:00,08h 30m,427,32 Seats available,"3.0
38",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2008,Sri KVR Travels,A/C Seater / Sleeper (2+1),23:35,06:45,07h 10m,INR 524,26 Seats available,"3.6
18",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2009,NueGo,Electric A/C Seater/Sleeper (2+1),14:30,23:20,08h 50m,427,29 Seats available,"3.8
158",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2010,NueGo,Electric A/C Seater (2+2),21:00,05:15,08h 15m,427,36 Seats available,"3.5
79",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2011,Morning Star Travels,A/C Sleeper (2+1),22:00,06:20,08h 20m,INR 790,25 Seats available,"3.8
47",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2012,Sai Sri Krishna Travels,A/C Seater / Sleeper (2+1),22:45,06:30,07h 45m,INR 599,31 Seats available,"3.8
208",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2013,SRKT Travels,Non A/C Seater / Sleeper (2+1),20:30,05:10,08h 40m,INR 450,33 Seats available,"3.7
110",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2014,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),20:30,04:45,08h 15m,INR 366,34 Seats available,"3.2
35",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2015,Sri Krishna Travels,A/C Seater / Sleeper (2+1),20:45,05:15,08h 30m,INR 550,25 Seats available,"3.0
39",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2016,Sai Balaji Travels,Non A/C Seater / Sleeper (2+1),20:32,05:00,08h 28m,INR 450,31 Seats available,"3.8
69",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2017,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:00,05:00,07h 00m,540,31 Seats available,"3.1
25",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2018,IRA Travels,A/C Seater / Sleeper (2+1),22:30,06:00,07h 30m,INR 550,25 Seats available,"3.2
31",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2019,Sri Padmavathi Travels,Non A/C Seater / Sleeper (2+1),22:00,05:00,07h 00m,INR 450,26 Seats available,"3.3
37",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2020,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09h 45m,INR 450,28 Seats available,"3.9
45",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2021,Rajesh Transports,A/C Sleeper (2+1),14:00,22:30,08h 30m,INR 1847,14 Seats available,"3.8
15",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2022,Sri KVR Travels,A/C Seater / Sleeper (2+1),22:50,06:30,07h 40m,INR 524,35 Seats available,"3.5
75",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2023,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:35,06:30,07h 55m,INR 450,41 Seats available,"3.9
74",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2024,Mayuri Travels,A/C Seater / Sleeper (2+1),19:30,03:00,07h 30m,702,37 Seats available,3.5,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2025,PRL BUS,A/C Seater / Sleeper (2+1),16:00,23:59,07h 59m,INR 699,45 Seats available,"3.8
28",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2026,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:15,05:50,07h 35m,INR 450,37 Seats available,"3.4
22",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2027,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),22:30,05:45,07h 15m,INR 450,31 Seats available,"3.9
17",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2028,Sri Padmavathi Travels,Non A/C Seater / Sleeper (2+1),21:40,06:00,08h 20m,INR 500,21 Seats available,"3.7
21",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2029,RAJULATALLI TRAVELS,NON A/C Semi Sleeper (2+2),22:00,05:30,07h 30m,INR 5000,40 Seats available,New,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2030,SVR Tours and Travels,Volvo Multi Axle Sleeper B11R (2+1),19:30,02:00,06h 30m,INR 900,29 Seats available,"3.9
11",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2031,IRA Travels,A/C Seater / Sleeper (2+1),00:20,09:39,09h 19m,INR 950,24 Seats available,"3.6
11",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2032,Sri Venkataramana Travels,A/C Seater / Sleeper (2+1),21:50,06:30,08h 40m,585,35 Seats available,New,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2033,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:30,06:00,07h 30m,540,39 Seats available,"2.8
36",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2034,Sri Krishna Travels,A/C Seater / Sleeper (2+1),20:55,05:00,08h 05m,INR 500,23 Seats available,"3.0
19",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2035,Jagan Travels,A/C Sleeper (2+1),15:00,23:30,08h 30m,INR 1500,8 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2036,Sri Venkataramana Travels,A/C Sleeper (2+1),22:30,06:30,08h 00m,810,32 Seats available,New,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2037,Sai RK Travels,Non A/C Seater / Sleeper (2+1),21:55,05:45,07h 50m,INR 550,25 Seats available,"3.4
11",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2038,Sri Venkataramana Travels,Non A/C Seater / Sleeper (2+1),22:00,06:30,08h 30m,495,37 Seats available,New,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2039,Morning Star Travels,A/C Sleeper (2+1),15:20,23:30,08h 10m,INR 790,27 Seats available,"2.9
32",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2040,Rajesh Transports,NON A/C Sleeper (2+1),14:50,23:30,08h 40m,INR 800,13 Seats available,"3.8
7",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2041,Morning Star Travels,A/C Sleeper (2+1),22:00,06:10,08h 10m,INR 790,23 Seats available,"2.7
31",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2042,Sri Amaravathi Travels,NON A/C Sleeper (2+1),22:45,06:30,07h 45m,630,27 Seats available,"3.4
13",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2043,SAMANVI CITICONNECT,A/C Sleeper (2+1),16:05,01:35,09h 30m,INR 819,23 Seats available,4.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2044,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),13:30,21:15,07h 45m,1629,12 Seats available,"3.1
8",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2045,Navayuga Travels,A/C Sleeper (2+1),22:00,07:20,09h 20m,INR 690,25 Seats available,"3.1
8",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2046,Morning Star Travels,A/C Sleeper (2+1),21:30,04:50,07h 20m,INR 790,24 Seats available,"2.3
23",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2047,Sri VInayaka Travels(Siva's),NON A/C Sleeper (2+1),21:00,05:15,08h 15m,INR 749,24 Seats available,"3.0
6",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2048,Nani’s Sai Krishna Travels,A/C Seater / Sleeper (2+1),22:40,05:20,06h 40m,INR 499,28 Seats available,"2.1
31",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2049,Elegance Tours And Travels Pvt Ltd,Bharat Benz A/C Sleeper (2+1),22:00,05:00,07h 00m,1045,30 Seats available,"3.1
4",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2050,LAVYASRI Travels,Non A/C Seater / Sleeper (2+1),22:35,05:30,06h 55m,INR 470,32 Seats available,"2.9
8",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2051,Navin Travels,Non A/C Seater / Sleeper (2+1),23:00,07:30,08h 30m,509,37 Seats available,"2.6
7",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2052,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),21:35,06:20,08h 45m,INR 450,24 Seats available,"2.1
10",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2053,Jagan Travels,Non A/C Seater / Sleeper (2+1),23:00,05:00,06h 00m,INR 1520,23 Seats available,"1.7
6",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2054,SKS Logistics,A/C Seater / Sleeper (2+1),18:50,03:15,08h 25m,INR 560,30 Seats available,"2.3
4",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2055,V Kaveri Travels,A/C Sleeper (2+1),17:00,23:59,06h 59m,INR 1090,25 Seats available,"2.4
6",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2056,IntrCity SmartBus,AC Sleeper (2+1),19:00,03:35,08h 35m,INR 850,31 Seats available,4.4,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2057,BSR Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:10,02:50,08h 40m,1480,21 Seats available,4.4,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2058,GMC Travels,A/C Seater / Sleeper (2+1),17:00,01:30,08h 30m,INR 549,37 Seats available,4.4,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2059,Prathap Travels,Non A/C Seater / Sleeper (2+1),22:10,05:30,07h 20m,INR 550,25 Seats available,4.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2060,Mayuri Travels,A/C Sleeper (2+1),20:20,04:00,07h 40m,1098,30 Seats available,3.5,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2061,Kaveri Travels,Non A/C Seater / Sleeper (2+1),16:30,00:45,08h 15m,INR 899,36 Seats available,4.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2062,Sree Sambasiva Tours and Travels,NON A/C Seater/ Sleeper (2+1),22:45,06:00,07h 15m,INR 599,28 Seats available,4.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2063,Shree Manikanta Travels,A/C Sleeper (2+1),18:15,02:00,07h 45m,INR 849,13 Seats available,4,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2064,Shree Manikanta Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),14:00,21:05,07h 05m,INR 999,4 Seats available,4,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2065,LUCKY TRAVELS,Volvo Multi-Axle A/C Sleeper (2+1),18:30,02:00,07h 30m,INR 1349,29 Seats available,3.9,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2066,Sri KVR Travels,A/C Seater / Sleeper (2+1),17:30,02:45,09h 15m,INR 1000,16 Seats available,3.9,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2067,Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),14:05,21:35,07h 30m,INR 1275,22 Seats available,3.8,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2068,Sai Sri Krishna Travels,A/C Seater / Sleeper (2+1),22:50,06:10,07h 20m,INR 555,28 Seats available,"3.8
39",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2069,IntrCity SmartBus,A/C Seater / Sleeper (2+1),16:50,01:05,08h 15m,INR 585,25 Seats available,"4.9
13",https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2070,KTR Travels,Non A/C Seater / Sleeper (2+1),17:15,23:30,06h 15m,INR 999,2 Seats available,3.6,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
2071,SRI SAI BALAJI TOURS AND TRAVELS,A/C Seater / Sleeper (2+1),19:00,00:30,05h 30m,INR 899,31 Seats available,3.6,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,Visakhapatnam to Vijayawada
